Author,Rating,Title,Date,Body
aslam kakal,5 out of 5 stars,More than expected 👍🏻,Reviewed in India on 17 March 2026,A good quality product with a good material and its heavy plastic.A useful thing in a cheap price. Satisfied 👍🏻
V A.,5 out of 5 stars,Bright focussed beam of light.,Reviewed in India on 24 December 2025,Good. Bright focussed beam of light.
Amarnath Banerjee,4 out of 5 stars,"GOOD, for now.",Reviewed in India on 23 September 2025,"Bright LED with good focus & range, even with a plain reflector.Plastic torches have a short life, more so for LED ones.But this one has a unique feature -- the switch comes on momentarily,on a light press, as well as hands-free on when pushed up, just like the brasstorches of yesteryears.Received a dull black piece, without any glow-in-the-dark part."
Lingaraj,5 out of 5 stars,Short handle.,Reviewed in India on 3 January 2026,It is ok.Value for money.
Indranath Banerjee,5 out of 5 stars,Awesome Torch,Reviewed in India on 13 July 2025,"Awesome, its Range is minimum 100 metres,It's Body is too Good ."
Sudarshan,5 out of 5 stars,Good,Reviewed in India on 28 October 2025,Nice
purvesh,3 out of 5 stars,Budget friendly but need to improve quality,Reviewed in India on 12 May 2025,"Comes in different colour , plastic quality is very poor but it's budget friendly so overall good buy."
roy abraham,4 out of 5 stars,Torch,Reviewed in India on 16 November 2024,Good
