Author,Rating,Title,Date,Body
KIRAN MANJREKAR,5.0 out of 5 stars,5.0•Emerging Light to be EverReady!!!!!,"Reviewed in India on · Feb, 2015",This emergency light is quite handy for me as it has served me alot in various ways much to my memorable day of having a candle-light (LED-LIGHT) dinner during power cut-offs. Also very useful as a to...
Smit Christian,5.0 out of 5 stars,5.0•Worth and exactly what was i looking for....,"Reviewed in India on · Aug, 2014","Its very handy lamp, has not much weight. Its chargeable and battery lasts 12 hour minimum. Im very happy with this product . some people commented that cord is very sort , but i think its ok having t..."
Good Product,5.0 out of 5 stars,5.0•Good Product,"Reviewed in India on · Aug, 2014",This product performs as promised. Good value for money. Excellent offer by Flipkart. Also delivered well before the promised date.
Krishna Jha,5.0 out of 5 stars,5.0•Eveready HL- 52 Emergency Lights Review,"Reviewed in India on · Jul, 2014",Nice product. Sufficient light for a medium sized room. In - built torch is a handy feature. Hope the battery will last long. Overall a recommended buy.
good,5.0 out of 5 stars,5.0•good,"Reviewed in India on · Jul, 2014",good product. i can recommend to others. past 6 months its working without any problem. good product. i can recommend to others. past 6 months its working without any problem.
"Praveen Prakash, Muzaffarpur",5.0 out of 5 stars,5.0•Good One,"Reviewed in India on · Jul, 2014",It is as per given on flipkart. good backup. very useful. good light. good look. it really useful for the daily use. we need not charge every day.
Very useful,5.0 out of 5 stars,5.0•Very useful,"Reviewed in India on · May, 2014",This is very useful device. Pros:     Automatic switch on the light in the power failure during charging     Very powerful light     Flexible angle Cons:     Inner Button is not convenient to switch o...
Very nice,5.0 out of 5 stars,5.0•Very nice,"Reviewed in India on · Apr, 2014",The only shortcoming I felt is that the cable lenght of this product. Its too short. But apart from that its really quite handy. Works well so far with lights going on and off..Tilting of the main lig...
"Praveen, Bangalore",5.0 out of 5 stars,5.0•Value for Money,"Reviewed in India on · Feb, 2014",I thank Flikart for quicker delivery. I got this product in 1 day and packing was also good.  First I have charged this for straight 10 to 12 hours. It worked for nearly 15 hours without recharging on...
Good product at best price,5.0 out of 5 stars,5.0•Good product at best price,"Reviewed in India on · Jan, 2014","timely delivery, nice product, best possible price. I have purchased as bangalore has power issues.  Charge lasts for good time Thanks for the gr8 product"
Awesome Lighting,5.0 out of 5 stars,5.0•Awesome Lighting,"Reviewed in India on · Jan, 2014",Really awesome lighting front as well as back. And the front adjustable light is simply superb which helps me when studying. Led's are very bright.
Worth spending money..!!!,5.0 out of 5 stars,5.0•Worth spending money..!!!,"Reviewed in India on · Dec, 2013",Everything good ..as excepted the delivery of the product was on time and the product look attractive  as well as worth spending money  on this product.... short charging cables and weak body..!!!
Tanmay Satpathy,5.0 out of 5 stars,5.0•Good Product with excellent backup.,"Reviewed in India on · Dec, 2013",After a lots of consideration of various models I finally made up my mind to go for this one. The prime reason is the way the light converts into a reading lamp. The delivery process was good as alway...
"Kranthi Kiran Kali, Bangalore",5.0 out of 5 stars,5.0•Quality product with best price from Flipkart,"Reviewed in India on · Oct, 2013",It is a good quality product which is sold for best discounted price in Flipkart. Shipping was lightening fast. Kudos to WS !! Worth having one in every home.
Excellent product,5.0 out of 5 stars,5.0•Excellent product,"Reviewed in India on · Oct, 2013","This one is a great product. Good amount of lighting to provide light for a large room. Easily can continue study or work on the laptop.  Only one aspect it is not the red as shown in the picture , it..."
